Departure (Local),Arrival (Local),Duration,Origin,Destination,Train type,Train number,Distance (km),Alphabetical trip,
2017-12-22 19:20,2017-12-22 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2017-12-22 20:36,2017-12-22 21:29,0:53,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2018-01-01 19:31,2018-01-01 20:24,0:53,Basel SBB,Bern,IC,1085,100.3,Basel SBB - Bern,
2018-01-01 20:34,2018-01-01 21:40,1:06,Bern,Lausanne,IC,732,96.7,Bern - Lausanne,
2018-01-11 19:20,2018-01-11 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2018-01-11 20:36,2018-01-11 21:29,0:53,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2018-01-12 19:31,2018-01-12 20:24,0:53,Basel SBB,Bern,IC,1085,100.3,Basel SBB - Bern,
2018-01-12 20:34,2018-01-12 21:40,1:06,Bern,Lausanne,IC,732,96.7,Bern - Lausanne,
2018-01-27 19:20,2018-01-27 21:28,2:08,Lausanne,Zürich HB,IC,733,213.7,Lausanne - Zürich HB,
2018-01-27 21:37,2018-01-27 22:52,1:15,Zürich HB,Chur,IC,597,115.8,Chur - Zürich HB,
2018-02-03 19:05,2018-02-03 20:19,1:14,Chur,Zürich HB,IC,10584,115.8,Chur - Zürich HB,
2018-02-03 20:32,2018-02-03 22:40,2:08,Zürich HB,Lausanne,IC,734,213.7,Lausanne - Zürich HB,
2018-02-23 19:20,2018-02-23 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2018-02-23 20:36,2018-02-23 21:29,0:53,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2018-02-25 19:31,2018-02-25 20:24,0:53,Basel SBB,Bern,IC,1085,100.3,Basel SBB - Bern,
2018-02-25 20:34,2018-02-25 21:40,1:06,Bern,Lausanne,IC,732,96.7,Bern - Lausanne,
2018-03-09 19:20,2018-03-09 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2018-03-09 20:36,2018-03-09 21:29,0:53,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2018-03-11 19:31,2018-03-11 20:24,0:53,Basel SBB,Bern,IC,1085,100.3,Basel SBB - Bern,
2018-03-11 20:34,2018-03-11 21:40,1:06,Bern,Lausanne,IC,732,96.7,Bern - Lausanne,
2018-03-16 19:20,2018-03-16 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2018-03-16 20:36,2018-03-16 21:29,0:53,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2018-03-18 19:31,2018-03-18 20:24,0:53,Basel SBB,Bern,IC,1085,100.3,Basel SBB - Bern,
2018-03-18 20:34,2018-03-18 21:40,1:06,Bern,Lausanne,IC,732,96.7,Bern - Lausanne,
2018-04-13 19:20,2018-04-13 20:26,1:06,Lausanne,Bern,IC,733,96.7,Bern - Lausanne,
2018-04-13 20:36,2018-04-13 21:29,0:53,Bern,Basel SBB,IC,1084,100.3,Basel SBB - Bern,
2018-04-15 19:31,2018-04-15 19:55,0:24,Basel SBB,Olten,IC,10285,31.8,Basel SBB - Olten,
2018-04-15 20:02,2018-04-15 21:45,1:43,Olten,Lausanne,IC,1534,159,Lausanne - Olten,
